ID,FirstYearDelinquency,AgeOldestIdentityRecord,AgeOldestAccount,AgeNewestAutoAccount,TotalInquiries,AvgAgeAutoAccounts,TotalAutoAccountsNeverDelinquent,WorstDelinquency,HasInquiryTelecomm
8327953,0,303,166,20,0,89,5,400,1
8327954,0,278,48,48,0,48,0,1,0
8327955,0,8,3,NA,0,NA,NA,1,0
8327956,0,14,6,NA,0,NA,NA,1,0
8327957,1,148,170,42,0,99,5,1,0
8327958,0,206,210,71,0,71,0,1,0
8327959,1,93,85,NA,0,NA,NA,400,0
8327960,0,27,NA,NA,0,NA,NA,NA,0
8327961,1,188,NA,NA,0,NA,NA,NA,0
8327962,1,71,39,7,0,18,3,60,1
8327963,0,215,80,47,2,64,1,1,0
8327964,0,167,110,42,0,57,1,400,0
8327965,0,157,71,NA,1,NA,NA,1,1
8327966,1,22,8,NA,0,NA,NA,1,1
8327967,1,95,55,55,0,55,0,1,0
8327968,1,355,280,38,1,63,0,400,0
8327969,1,483,203,16,0,50,1,60,0
8327970,0,168,160,116,0,116,1,1,0
8327971,1,77,NA,NA,0,NA,NA,NA,0
8327972,1,342,207,NA,1,NA,NA,400,0
8327973,0,167,133,71,1,97,3,1,0
8327974,0,175,161,48,0,99,2,1,0
8327975,0,180,108,24,0,80,3,30,0
8327976,0,249,126,34,0,34,1,1,0
8327977,1,205,163,NA,0,NA,NA,400,0
8327978,1,105,80,NA,0,NA,NA,400,0
8327979,1,95,92,NA,0,NA,NA,1,0
8327980,0,296,261,76,1,88,1,400,0
8327981,0,380,144,38,4,61,3,400,0
8327982,0,437,350,NA,0,NA,NA,1,0
8327983,0,112,68,30,0,40,0,30,0
8327984,1,55,NA,NA,0,NA,NA,NA,1
8327985,0,381,NA,NA,NA,NA,NA,NA,0
8327986,0,334,588,102,1,102,0,400,0
8327987,0,24,3,3,0,3,1,1,1
8327988,0,195,225,NA,1,NA,NA,120,0
8327989,0,282,154,25,0,25,0,400,0
8327990,0,29,16,15,0,15,1,1,0
8327991,1,111,111,100,0,100,0,1,0
8327992,0,187,99,65,0,65,0,400,0
8327993,0,150,61,NA,0,NA,NA,400,0
8327994,0,7,NA,NA,0,NA,NA,NA,0
8327995,1,148,93,NA,0,NA,NA,400,0
8327996,1,205,205,NA,0,NA,NA,1,0
8327997,1,209,158,13,0,98,2,30,0
8327998,0,63,36,NA,0,NA,NA,400,0
8327999,0,32,7,7,0,7,0,30,0
8328000,1,282,276,8,2,36,1,400,0
8328001,1,298,100,NA,0,NA,NA,1,0
8328002,0,83,80,NA,0,NA,NA,400,1
8328003,0,77,77,NA,0,NA,NA,90,0
8328004,0,289,147,95,0,95,0,400,0
8328005,1,149,NA,NA,NA,NA,NA,NA,0
8328006,0,94,23,3,0,3,1,120,0
8328007,0,103,66,NA,0,NA,NA,1,0
8328008,0,193,152,40,0,57,1,1,0
8328009,0,380,107,27,0,54,0,30,0
8328010,0,226,210,36,1,93,2,400,0
8328011,0,230,218,39,1,39,0,400,0
8328012,0,162,98,33,0,33,0,30,0
8328013,0,379,165,65,0,99,1,400,0
8328014,1,291,NA,NA,0,NA,NA,NA,0
8328015,1,186,88,NA,0,NA,NA,1,0
8328016,0,161,NA,NA,NA,NA,NA,NA,0
8328017,1,255,172,104,0,136,2,1,0
8328018,0,42,NA,NA,1,NA,NA,NA,1
8328019,0,166,158,NA,0,NA,NA,1,0
8328020,0,215,109,109,0,109,1,1,0
8328021,1,339,273,19,0,97,3,1,0
8328022,1,346,311,14,0,39,0,30,0
8328023,0,316,147,3,0,60,4,30,0
8328024,0,332,189,72,0,81,0,1,0
8328025,0,323,224,49,1,49,0,400,0
8328026,0,211,217,27,0,72,1,30,0
8328027,0,262,124,40,0,70,3,1,0
8328028,0,20,18,NA,0,NA,NA,400,0
8328029,0,137,126,91,0,91,0,1,0
8328030,0,274,90,NA,0,NA,NA,1,0
8328031,0,303,100,100,0,100,0,1,0
8328032,0,183,98,80,0,92,1,1,0
8328033,0,161,159,NA,0,NA,NA,400,0
8328034,0,149,123,82,0,82,0,1,0
8328035,1,152,76,NA,1,NA,NA,400,0
8328036,0,39,NA,NA,0,NA,NA,NA,0
8328037,0,334,193,166,0,166,1,1,0
8328038,0,211,118,97,0,104,0,400,0
8328039,0,153,106,NA,0,NA,NA,400,0
8328040,0,304,41,18,0,18,0,400,0
8328041,0,244,230,NA,0,NA,NA,400,0
8328042,1,81,79,48,0,53,1,400,0
8328043,0,372,409,56,0,72,0,1,0
8328044,1,112,73,NA,0,NA,NA,1,0
8328045,1,300,75,18,1,18,1,400,0
8328046,1,84,79,NA,0,NA,NA,60,0
8328047,1,203,79,4,0,10,2,400,0
8328048,0,242,84,23,0,23,0,400,0
8328049,0,280,106,NA,0,NA,NA,60,0
8328050,1,222,102,18,0,56,6,1,0
8328051,1,59,55,NA,0,NA,NA,1,0
8328052,1,111,12,NA,0,NA,NA,1,0
8328053,0,102,NA,NA,0,NA,NA,NA,1
8328054,0,184,163,31,2,56,0,400,0
8328055,1,357,87,51,0,69,1,400,0
8328056,1,34,13,2,0,8,2,1,0
8328057,1,310,118,NA,3,NA,NA,1,0
8328058,0,173,NA,NA,NA,NA,NA,NA,0
8328059,1,129,123,NA,1,NA,NA,1,0
8328060,0,180,172,46,0,67,1,400,1
8328061,1,125,40,NA,0,NA,NA,1,0
8328062,1,108,74,NA,0,NA,NA,1,0
8328063,0,70,36,2,1,19,1,400,0
8328064,0,357,139,72,0,106,1,1,0
8328065,0,206,138,58,0,91,1,1,0
8328066,0,11,6,6,0,6,1,1,0
8328067,1,343,116,83,0,83,0,1,0
8328068,1,129,83,NA,0,NA,NA,400,0
8328069,1,69,36,NA,1,NA,NA,400,1
8328070,1,271,97,78,1,78,0,400,0
8328071,0,173,66,NA,0,NA,NA,120,0
8328072,1,118,123,NA,0,NA,NA,400,0
8328073,1,258,207,161,0,161,0,1,0
8328074,1,269,117,15,1,35,1,400,0
8328075,0,239,143,97,0,97,0,1,0
8328076,0,302,260,NA,0,NA,NA,400,0
8328077,1,293,93,15,0,41,0,400,0
8328078,1,41,41,6,0,7,2,400,1
8328079,0,330,89,NA,0,NA,NA,1,0
8328080,1,241,92,NA,0,NA,NA,400,0
8328081,0,222,131,NA,0,NA,NA,400,0
8328082,1,320,277,19,0,92,0,400,0
8328083,0,64,9,NA,1,NA,NA,1,0
8328084,0,36,31,NA,1,NA,NA,1,0
8328085,1,81,76,NA,0,NA,NA,1,0
8328086,0,359,242,22,0,79,6,400,0
8328087,1,188,52,NA,1,NA,NA,400,0
8328088,0,252,105,NA,0,NA,NA,400,1
8328089,0,201,119,91,0,105,1,400,0
8328090,0,349,365,87,0,113,5,1,0
8328091,0,154,155,NA,0,NA,NA,60,0
8328092,0,105,93,NA,0,NA,NA,400,0
8328093,0,323,69,11,0,35,0,400,0
8328094,0,NA,NA,NA,0,NA,NA,NA,0
8328095,0,53,NA,NA,0,NA,NA,NA,1
8328096,0,272,187,NA,0,NA,NA,1,0
8328097,1,227,227,30,2,31,0,400,0
8328098,1,298,112,112,0,112,0,400,1
8328099,1,NA,NA,NA,NA,NA,NA,NA,NA
8328100,0,342,291,25,1,81,1,1,0
8328101,0,195,6,NA,0,NA,NA,1,0
8328102,0,226,190,78,0,87,2,400,0
8328103,0,321,NA,NA,0,NA,NA,NA,0
8328104,0,313,NA,NA,NA,NA,NA,NA,0
8328105,0,93,92,78,0,84,1,400,0
8328106,1,115,NA,NA,0,NA,NA,NA,0
8328107,0,214,108,72,3,90,0,1,0
8328108,1,322,54,NA,0,NA,NA,400,0
8328109,0,124,4,NA,0,NA,NA,1,0
8328110,1,177,12,NA,0,NA,NA,400,0
8328111,0,348,98,98,0,98,0,120,0
8328112,0,283,141,74,0,87,0,90,0
8328113,1,159,135,4,0,4,1,1,0
8328114,0,194,116,112,0,112,0,1,0
8328115,1,140,141,80,0,80,0,1,1
8328116,0,197,158,12,0,12,1,30,0
8328117,0,180,55,NA,0,NA,NA,120,0
8328118,1,147,141,27,0,27,1,1,0
8328119,0,301,171,122,0,137,1,400,0
8328120,0,257,115,NA,0,NA,NA,400,0
8328121,0,264,105,12,0,70,3,1,0
8328122,1,312,119,77,1,77,0,400,0
8328123,0,352,193,NA,0,NA,NA,60,0
8328124,1,43,21,NA,0,NA,NA,60,0
8328125,0,9,NA,NA,0,NA,NA,NA,0
8328126,0,246,160,22,1,89,1,400,0
8328127,0,314,86,86,0,86,0,400,0
8328128,0,247,158,158,0,158,0,1,0
8328129,1,17,NA,NA,0,NA,NA,NA,1
8328130,0,333,54,54,0,54,1,400,0
8328131,0,327,127,17,1,58,1,400,0
8328132,0,383,246,NA,0,NA,NA,1,0
8328133,0,304,159,89,0,110,2,1,0
8328134,1,309,167,15,1,91,0,400,0
8328135,1,128,130,NA,0,NA,NA,1,0
8328136,0,75,76,NA,1,NA,NA,1,0
8328137,0,88,83,56,0,66,1,400,0
8328138,1,113,24,4,1,4,1,1,1
8328139,0,302,139,NA,0,NA,NA,1,0
8328140,1,42,34,NA,1,NA,NA,1,0
8328141,1,41,6,NA,0,NA,NA,1,1
8328142,0,173,79,NA,0,NA,NA,400,0
8328143,0,132,128,71,0,76,1,400,0
8328144,0,115,107,82,0,82,0,1,0
8328145,0,296,NA,NA,NA,NA,NA,NA,0
8328146,0,218,164,NA,0,NA,NA,1,1
8328147,0,162,123,NA,0,NA,NA,1,0
8328148,1,142,128,40,0,57,1,400,0
8328149,0,204,117,NA,0,NA,NA,120,0
8328150,1,166,152,NA,0,NA,NA,1,0
8328151,1,55,NA,NA,0,NA,NA,NA,1
8328152,1,357,242,NA,2,NA,NA,400,0
8328153,1,299,88,NA,0,NA,NA,1,0
8328154,1,38,17,NA,0,NA,NA,1,0
8328155,0,284,197,NA,0,NA,NA,400,0
8328156,0,344,114,72,0,73,0,400,0
8328157,0,318,77,12,0,12,0,400,0
8328158,0,337,292,2,0,58,1,1,0
8328159,1,283,189,21,2,21,1,400,0
8328160,0,19,9,NA,0,NA,NA,1,0
8328161,0,317,118,33,1,90,2,400,0
8328162,0,319,167,78,0,114,2,1,0
8328163,0,79,69,49,0,59,1,400,0
8328164,0,293,143,49,0,84,3,400,0
8328165,1,205,223,NA,1,NA,NA,400,0
8328166,0,290,133,34,0,101,2,1,0
8328167,0,383,99,80,0,80,0,1,0
8328168,0,246,195,56,0,68,0,120,0
8328169,0,133,107,38,0,72,1,1,0
8328170,0,70,63,NA,0,NA,NA,1,0
8328171,1,67,3,3,0,3,1,1,0
8328172,0,352,40,NA,0,NA,NA,400,0
8328173,1,173,91,NA,1,NA,NA,1,0
8328174,0,39,38,NA,1,NA,NA,120,0
8328175,0,50,NA,NA,0,NA,NA,NA,0
8328176,0,280,171,122,0,122,1,90,1
8328177,0,372,355,15,1,15,0,400,0
8328178,0,382,313,100,0,105,0,1,0
8328179,0,224,113,NA,0,NA,NA,1,0
8328180,0,325,14,NA,0,NA,NA,400,1
8328181,1,257,83,43,1,63,0,400,1
8328182,1,203,212,42,0,120,4,400,0
8328183,0,181,144,42,0,94,2,1,0
8328184,1,177,98,5,2,46,2,400,0
8328185,0,23,NA,NA,NA,NA,NA,NA,0
8328186,0,104,81,81,0,81,0,1,0
8328187,1,212,10,NA,1,NA,NA,1,0
8328188,1,125,80,80,0,80,0,400,0
8328189,0,375,84,81,0,81,1,400,0
8328190,1,228,94,75,1,75,0,400,0
8328191,0,312,99,8,1,8,1,400,0
8328192,0,71,32,NA,1,NA,NA,1,0
8328193,0,135,121,NA,1,NA,NA,1,0
8328194,0,220,135,55,0,83,0,400,1
8328195,1,11,NA,NA,NA,NA,NA,NA,1
8328196,0,377,174,10,3,48,5,400,0
8328197,1,147,73,NA,0,NA,NA,400,0
8328198,1,55,3,NA,0,NA,NA,1,0
8328199,1,110,41,NA,0,NA,NA,1,0
8328200,1,6,NA,NA,NA,NA,NA,NA,0
8328201,0,289,285,NA,0,NA,NA,1,0
8328202,0,241,13,NA,0,NA,NA,1,0
8328203,0,138,121,46,0,91,1,400,1
8328204,1,304,173,17,0,95,1,1,0
8328205,0,281,139,26,1,76,2,1,0
8328206,0,169,148,45,0,65,1,1,0
8328207,0,168,41,33,1,33,1,1,0
8328208,0,109,NA,NA,0,NA,NA,NA,1
8328209,0,305,182,3,1,84,3,400,0
8328210,0,235,204,64,0,134,1,1,0
8328211,0,226,86,53,0,71,0,400,0
8328212,0,374,145,45,0,112,3,1,0
8328213,1,174,156,13,1,86,2,400,0
8328214,1,141,117,117,1,117,1,60,0
8328215,1,296,197,56,1,56,0,400,0
8328216,1,232,80,NA,1,NA,NA,400,1
8328217,0,274,56,51,0,51,0,1,0
8328218,0,112,61,9,2,9,0,30,0
8328219,0,103,NA,NA,0,NA,NA,NA,1
8328220,0,209,56,37,1,47,2,1,0
8328221,0,91,90,NA,0,NA,NA,1,0
8328222,0,30,34,18,0,18,1,1,0
8328223,1,126,NA,NA,0,NA,NA,NA,1
8328224,0,296,45,NA,0,NA,NA,400,0
8328225,1,3,NA,NA,0,NA,NA,NA,0
8328226,0,15,NA,NA,0,NA,NA,NA,0
8328227,1,71,50,NA,0,NA,NA,120,0
8328228,0,350,106,56,0,85,0,400,0
8328229,1,192,49,NA,0,NA,NA,1,0
8328230,1,122,119,86,2,86,0,400,0
8328231,0,314,NA,NA,0,NA,NA,NA,0
8328232,0,324,155,82,0,106,1,1,0
8328233,1,286,152,109,0,109,0,120,0
8328234,0,243,127,78,0,95,2,400,0
8328235,0,354,221,14,1,40,1,1,0
8328236,0,203,132,82,0,107,1,1,0
8328237,1,316,134,63,0,95,3,400,0
8328238,0,63,47,47,0,47,0,90,0
8328239,1,221,74,37,2,56,0,400,0
8328240,1,24,25,NA,0,NA,NA,1,0
8328241,1,231,232,26,0,45,0,400,0
8328242,0,126,112,72,0,78,0,400,0
8328243,1,80,25,6,1,6,2,1,0
8328244,1,230,NA,NA,0,NA,NA,NA,0
8328245,0,188,188,26,0,83,0,30,0
8328246,1,19,NA,NA,0,NA,NA,NA,0
8328247,0,33,5,NA,0,NA,NA,1,0
8328248,0,210,23,NA,0,NA,NA,1,0
8328249,0,189,179,52,2,52,0,400,0
8328250,0,281,85,13,0,13,1,400,0
8328251,0,241,119,12,0,12,1,400,0
8328252,0,378,221,NA,1,NA,NA,120,0
8328253,0,263,270,94,0,125,1,1,0
8328254,1,273,191,23,0,23,0,400,0
8328255,1,208,60,60,1,60,0,1,0
8328256,0,300,137,6,0,50,2,400,0
8328257,0,83,72,52,0,52,0,400,0
8328258,1,215,81,NA,0,NA,NA,400,0
8328259,0,207,97,90,0,90,0,1,0
8328260,1,191,NA,NA,0,NA,NA,NA,1
8328261,0,97,93,NA,0,NA,NA,120,0
8328262,0,342,92,64,0,64,0,400,0
8328263,0,160,55,NA,0,NA,NA,1,0
8328264,0,NA,19,NA,0,NA,NA,30,0
8328265,1,347,221,NA,0,NA,NA,400,0
8328266,1,377,306,80,3,155,1,400,0
8328267,0,278,43,NA,0,NA,NA,1,0
8328268,0,250,95,NA,0,NA,NA,1,0
8328269,0,344,155,95,0,109,6,1,0
8328270,0,150,118,36,0,62,1,1,0
8328271,1,149,131,41,1,91,7,400,0
8328272,1,216,220,18,0,18,0,400,0
8328273,1,195,162,30,0,70,3,400,0
8328274,0,85,86,NA,0,NA,NA,1,0
8328275,0,304,93,93,0,93,0,1,0
8328276,0,106,94,38,0,61,0,1,0
8328277,0,108,100,25,1,46,1,400,0
8328278,0,280,204,22,0,64,1,400,0
8328279,0,353,248,45,0,91,2,1,0
8328280,0,152,98,58,1,58,1,400,0
8328281,1,13,NA,NA,0,NA,NA,NA,1
8328282,0,159,85,54,0,70,1,1,0
8328283,1,253,115,80,0,80,0,400,0
8328284,0,328,92,92,0,92,0,400,0
8328285,0,80,80,80,0,80,0,1,0
8328286,0,80,53,NA,0,NA,NA,1,0
8328287,0,119,120,69,0,74,1,400,0
8328288,0,79,70,NA,0,NA,NA,400,0
8328289,0,357,193,14,0,74,9,1,0
8328290,1,302,112,41,5,95,5,400,0
8328291,0,349,213,11,0,71,3,1,0
8328292,1,174,75,NA,1,NA,NA,400,1
8328293,0,53,27,NA,0,NA,NA,1,0
8328294,0,215,115,73,1,73,0,1,0
8328295,0,111,77,19,0,19,1,1,0
8328296,0,354,224,14,1,51,3,1,0
8328297,0,222,91,91,0,91,0,60,0
8328298,1,11,12,NA,0,NA,NA,1,0
8328299,0,47,49,2,0,2,1,400,0
8328300,1,214,NA,NA,0,NA,NA,NA,0
8328301,1,41,43,NA,0,NA,NA,1,0
8328302,1,34,NA,NA,NA,NA,NA,NA,0
8328303,0,289,72,72,0,72,0,1,0
8328304,0,290,68,NA,1,NA,NA,400,0
8328305,1,266,142,142,0,142,1,1,0
8328306,0,374,174,NA,0,NA,NA,30,0
8328307,1,349,175,2,0,62,2,400,0
8328308,0,323,129,25,0,73,3,1,0
8328309,1,80,NA,NA,0,NA,NA,NA,0
8328310,0,356,124,8,0,67,2,60,0
8328311,0,292,137,84,0,84,0,400,0
8328312,0,153,NA,NA,0,NA,NA,NA,0
8328313,0,195,NA,NA,NA,NA,NA,NA,0
8328314,1,187,176,84,0,95,1,400,0
8328315,0,172,NA,NA,0,NA,NA,NA,0
8328316,1,304,222,19,0,59,4,400,0
8328317,0,133,74,21,0,21,1,1,0
8328318,0,257,148,NA,0,NA,NA,1,0
8328319,0,193,118,77,0,98,1,400,0
8328320,1,382,245,NA,1,NA,NA,400,0
8328321,1,212,106,75,0,75,0,1,0
8328322,0,296,294,13,0,55,1,1,0
8328323,1,222,NA,NA,NA,NA,NA,NA,0
8328324,1,191,119,40,0,40,0,400,0
8328325,0,308,109,84,0,84,0,400,0
8328326,0,296,171,66,0,83,1,1,0
8328327,0,94,94,NA,0,NA,NA,120,0
8328328,0,39,NA,NA,0,NA,NA,NA,0
8328329,0,355,200,3,2,25,4,1,1
8328330,0,195,126,126,0,126,1,1,0
8328331,0,375,203,33,0,106,3,1,1
8328332,1,261,144,137,0,137,0,1,0
8328333,0,66,66,NA,0,NA,NA,30,0
8328334,0,52,18,NA,0,NA,NA,1,0
8328335,0,328,268,9,1,82,4,1,1
8328336,0,288,136,25,0,81,3,30,0
8328337,0,218,196,58,0,105,2,400,0
8328338,0,323,139,55,0,94,2,400,0
8328339,0,46,37,25,1,27,1,400,0
8328340,0,137,129,115,2,115,0,400,0
8328341,1,167,128,40,0,40,0,400,0
8328342,1,321,182,5,0,57,7,400,0
8328343,0,205,NA,NA,1,NA,NA,NA,0
8328344,0,337,196,98,2,104,1,400,1
8328345,1,265,33,33,0,33,0,1,0
8328346,0,231,207,72,0,86,1,400,0
8328347,0,310,144,144,0,144,0,1,0
8328348,0,190,156,NA,0,NA,NA,400,0
8328349,0,375,109,30,1,53,0,400,0
8328350,0,27,13,NA,0,NA,NA,60,0
8328351,0,284,100,33,1,45,2,1,0
8328352,0,289,195,20,3,76,1,400,0
8328353,0,239,230,43,0,88,1,1,0
8328354,0,359,321,91,2,91,0,1,0
8328355,0,178,125,50,0,63,0,400,0
8328356,0,160,NA,NA,0,NA,NA,NA,1
8328357,0,9,7,NA,0,NA,NA,1,0
8328358,1,227,87,87,0,87,0,1,0
8328359,0,340,96,NA,0,NA,NA,400,0
8328360,0,297,91,NA,0,NA,NA,400,0
8328361,0,266,105,48,0,77,0,400,0
8328362,1,136,133,38,0,82,6,400,0
8328363,1,162,149,54,0,95,1,400,0
8328364,0,205,116,84,0,94,1,1,0
8328365,0,102,102,NA,0,NA,NA,1,0
8328366,0,68,31,NA,0,NA,NA,90,0
8328367,1,376,248,24,4,56,0,60,0
8328368,1,81,80,9,0,24,2,90,1
8328369,0,168,155,NA,0,NA,NA,1,0
8328370,0,175,173,17,0,79,2,400,0
8328371,0,164,79,NA,0,NA,NA,60,0
8328372,1,74,41,NA,0,NA,NA,400,0
8328373,0,241,93,93,0,93,0,1,0
8328374,0,232,NA,NA,0,NA,NA,NA,0
8328375,1,189,94,NA,1,NA,NA,1,0
8328376,1,315,113,NA,0,NA,NA,400,0
8328377,0,301,177,152,0,165,1,1,0
8328378,0,473,NA,NA,0,NA,NA,NA,0
8328379,0,315,123,10,1,54,1,400,0
8328380,0,193,182,86,0,106,3,400,0
8328381,0,232,NA,NA,NA,NA,NA,NA,0
8328382,0,223,179,80,0,111,0,1,0
8328383,1,347,373,32,4,62,2,1,0
8328384,1,373,79,11,0,11,0,60,0
8328385,0,19,NA,NA,NA,NA,NA,NA,0
8328386,0,170,97,71,0,83,0,1,0
8328387,1,71,40,40,0,40,0,400,0
8328388,1,171,92,92,1,92,0,400,0
8328389,0,255,181,73,2,124,3,400,0
8328390,0,349,159,93,0,110,1,1,0
8328391,1,293,237,25,0,83,3,400,0
8328392,0,83,82,NA,0,NA,NA,1,0
8328393,0,283,264,NA,1,NA,NA,1,0
8328394,0,102,98,20,0,63,1,1,0
8328395,1,357,171,41,0,107,2,1,0
8328396,0,188,NA,NA,0,NA,NA,NA,0
8328397,0,176,99,NA,0,NA,NA,1,0
8328398,1,247,160,30,0,51,1,1,0
8328399,0,38,22,NA,0,NA,NA,1,0
8328400,0,355,156,NA,0,NA,NA,1,0
8328401,0,315,96,NA,1,NA,NA,1,0
8328402,0,NA,32,NA,0,NA,NA,1,NA
8328403,0,164,164,NA,2,NA,NA,1,0
8328404,0,99,88,15,0,15,1,1,0
8328405,0,NA,11,NA,0,NA,NA,1,0
8328406,1,190,89,89,0,89,0,400,0
8328407,0,183,99,27,1,68,1,400,0
8328408,0,23,18,NA,0,NA,NA,1,0
8328409,0,309,215,122,0,123,2,400,0
8328410,0,245,243,74,0,74,0,400,0
8328411,0,276,143,143,0,143,1,1,0
8328412,1,87,52,NA,0,NA,NA,400,0
8328413,1,NA,11,NA,0,NA,NA,1,NA
8328414,1,37,38,NA,0,NA,NA,400,0
8328415,0,297,159,59,1,119,2,400,0
8328416,0,361,140,88,0,114,2,400,0
8328417,0,19,NA,NA,0,NA,NA,NA,0
8328418,0,70,70,15,0,40,1,1,0
8328419,0,284,89,24,0,48,2,1,0
8328420,0,341,161,83,0,122,1,1,0
8328421,1,295,58,NA,1,NA,NA,60,0
8328422,0,446,109,15,0,31,3,1,0
8328423,0,303,210,NA,0,NA,NA,400,0
8328424,0,285,177,22,0,64,0,1,0
8328425,1,165,NA,NA,1,NA,NA,NA,0
8328426,1,141,138,26,0,93,2,30,1
8328427,1,53,52,NA,0,NA,NA,1,0
8328428,0,297,41,41,0,41,0,1,0
8328429,1,129,106,NA,0,NA,NA,1,0
8328430,0,244,116,24,0,69,2,400,0
8328431,0,80,79,NA,1,NA,NA,400,0
8328432,0,196,5,5,0,5,1,1,0
8328433,0,63,47,NA,0,NA,NA,400,0
8328434,0,62,57,NA,0,NA,NA,400,0
8328435,0,136,137,26,0,57,2,400,0
8328436,0,28,29,NA,0,NA,NA,1,0
8328437,0,218,223,68,0,68,0,1,0
8328438,0,53,55,14,0,14,1,400,0
8328439,1,244,165,87,1,87,0,1,0
8328440,1,140,114,90,0,90,0,1,0
8328441,0,57,9,8,0,9,2,1,1
8328442,0,360,122,11,0,69,1,400,0
8328443,0,250,237,109,0,109,0,60,0
8328444,1,292,223,4,0,65,1,400,0
8328445,1,272,89,89,0,89,1,1,0
8328446,0,350,96,9,0,35,2,1,0
8328447,0,303,169,89,1,109,4,1,0
8328448,1,150,120,28,0,73,0,400,1
8328449,0,286,91,NA,2,NA,NA,400,0
8328450,0,86,86,53,0,68,2,400,1
8328451,1,36,37,31,1,31,0,400,0
8328452,0,199,80,50,0,50,1,1,0
8328453,0,182,NA,NA,0,NA,NA,NA,0
8328454,0,172,NA,NA,0,NA,NA,NA,0
8328455,0,358,411,3,2,42,2,400,0
8328456,0,46,10,NA,1,NA,NA,1,0
8328457,0,295,NA,NA,0,NA,NA,NA,0
8328458,0,193,138,NA,0,NA,NA,1,0
8328459,0,85,84,81,0,81,1,400,0
8328460,1,144,54,NA,2,NA,NA,120,0
8328461,0,244,135,66,0,101,1,400,0
8328462,0,201,204,5,3,72,4,400,0
8328463,1,256,121,21,3,60,3,60,0
8328464,0,326,139,12,0,89,2,1,0
8328465,1,242,249,20,0,20,0,400,0
8328466,1,291,253,73,0,107,1,1,1
8328467,0,260,30,NA,1,NA,NA,1,0
8328468,0,314,128,33,0,88,0,400,0
8328469,0,293,314,27,1,94,4,400,0
8328470,0,239,112,10,1,56,2,1,0
8328471,0,94,NA,NA,0,NA,NA,NA,1
8328472,1,193,99,69,0,69,1,400,0
8328473,0,354,271,92,1,106,1,1,0
8328474,0,1,NA,NA,NA,NA,NA,NA,0
8328475,0,314,273,18,0,18,1,1,0
8328476,0,305,218,32,0,82,0,30,0
8328477,1,25,NA,NA,0,NA,NA,NA,0
8328478,0,304,80,58,0,70,1,1,0
8328479,0,365,324,NA,0,NA,NA,1,0
8328480,1,162,156,NA,0,NA,NA,400,0
8328481,0,134,93,19,0,59,1,90,0
8328482,0,1,NA,NA,0,NA,NA,NA,0
8328483,1,180,NA,NA,NA,NA,NA,NA,1
8328484,1,333,113,72,0,72,0,30,0
8328485,0,249,198,NA,0,NA,NA,1,0
8328486,1,56,22,7,0,7,1,1,1
8328487,0,186,97,NA,0,NA,NA,1,0
8328488,0,374,173,36,0,120,1,1,0
8328489,0,188,118,42,0,80,0,400,0
8328490,1,227,148,77,0,108,1,1,0
8328491,0,271,126,22,1,85,2,1,0
8328492,0,229,90,10,0,42,1,1,0
8328493,1,263,112,NA,0,NA,NA,1,0
8328494,0,148,141,76,0,109,0,1,0
8328495,0,118,119,NA,0,NA,NA,30,0
8328496,0,73,42,NA,0,NA,NA,1,0
8328497,1,303,469,82,1,111,2,1,0
8328498,1,177,135,NA,1,NA,NA,120,0
8328499,1,191,76,7,1,7,1,400,0
8328500,0,72,104,20,1,20,0,400,0
8328501,0,283,173,16,1,114,3,1,0
8328502,0,29,17,NA,1,NA,NA,1,1
8328503,0,169,76,NA,0,NA,NA,1,0
8328504,0,297,105,36,0,62,1,400,0
8328505,0,266,NA,NA,0,NA,NA,NA,0
8328506,0,15,NA,NA,0,NA,NA,NA,0
8328507,0,289,166,NA,2,NA,NA,1,0
8328508,1,237,116,15,3,31,2,400,0
8328509,0,155,41,NA,0,NA,NA,1,0
8328510,0,349,57,NA,0,NA,NA,1,0
8328511,0,378,168,73,0,109,1,400,1
8328512,1,23,24,NA,0,NA,NA,30,0
8328513,0,289,245,60,1,85,1,400,0
8328514,0,347,148,NA,0,NA,NA,1,0
8328515,0,210,89,89,1,89,0,400,0
8328516,0,316,90,51,0,51,1,400,0
8328517,0,278,109,27,0,57,1,400,0
8328518,0,298,124,90,0,103,1,400,0
8328519,0,308,262,3,0,81,2,1,0
8328520,0,288,148,29,1,98,6,400,0
8328521,0,298,126,7,1,45,1,30,0
8328522,0,216,188,188,0,188,1,1,0
8328523,1,380,70,4,0,4,1,400,0
8328524,1,139,110,110,1,110,1,1,0
8328525,1,220,105,28,0,66,2,30,0
8328526,0,262,228,NA,1,NA,NA,30,0
8328527,0,39,38,NA,0,NA,NA,1,0
8328528,1,217,100,42,0,71,1,1,0
8328529,0,357,147,24,1,71,4,400,0
8328530,1,75,70,58,0,58,0,400,0
8328531,0,272,75,NA,1,NA,NA,400,0
8328532,1,143,51,NA,0,NA,NA,400,0
8328533,0,162,25,25,0,25,0,1,0
8328534,0,118,150,27,0,27,0,400,0
8328535,0,255,NA,NA,0,NA,NA,NA,0
8328536,1,378,152,NA,0,NA,NA,1,0
8328537,0,284,280,73,0,106,5,400,0
8328538,1,304,152,56,1,93,2,400,0
8328539,1,253,96,8,1,31,1,400,0
8328540,1,71,5,NA,0,NA,NA,1,0
8328541,1,212,192,NA,0,NA,NA,1,0
8328542,1,103,92,61,0,75,0,1,0
